0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-0.14470795,-0.103758514,-0.019493768,-0.13043258,0.011669593,-0.14283682,-0.035224564,-0.21579564,-0.14126542,0.121687025,-0.10050383,0.13554104,-0.10881767,-0.15289675,-0.4181657,-0.09154801,0.06778824,-0.6653801,-0.056849025,-0.15364082,0.3424027,0.49681604,-0.29841736,-0.16109927,-0.020808017,0.0055194804,-0.029390737,-0.040243678,0.061589886,-0.05954984
-0.0888003,-0.013984477,0.04048334,-0.039341006,0.0011374224,-0.1390883,0.05826962,-0.073335394,-0.19853887,0.060330983,0.05799217,0.028941138,0.010647169,-0.11487992,-0.22023965,-0.049583137,0.11617382,-0.20331484,0.07955461,-0.12453543,0.26451275,0.48028663,-0.1943972,-0.0035695273,0.017755786,0.044157013,0.009921862,-0.11296242,0.105239265,-0.050416224
-0.004622,-0.08234652,-0.07908203,-0.15360874,0.008177403,-0.06040338,0.09424498,-0.119153574,-0.26411718,0.104805216,0.06602391,0.016389627,-0.032389715,-0.16631198,-0.1530473,0.03467265,0.11647824,-0.31291893,-0.05088798,-0.077780545,0.20756854,0.32706067,-0.190688,0.030820958,-0.011178391,-0.087075554,0.022169005,-0.17150359,-0.02384871,0.028651118
0.057084717,-0.03725758,-0.0043838015,-0.1720528,0.07998775,-0.1389316,0.05336672,-0.031543747,-0.034234513,0.015715085,-0.12145124,0.14315507,-0.08955871,-0.076209724,-0.39073673,-0.016456066,0.018021267,-0.3398477,0.07149038,-0.02764709,0.25550935,0.30138516,-0.1805405,0.0948578,-0.046175357,-0.00727366,-0.03291288,-0.018173052,0.078932755,0.05551719
0.03198665,-0.058223017,0.0904354,-0.06986524,0.10338729,-0.13774599,0.054223478,-0.034113288,-0.09752573,-0.05412672,-0.20740315,0.13883327,-0.12114094,-0.12777045,-0.42750382,-0.017290523,-0.13949877,-0.55024576,0.022704592,-0.084296785,0.22414467,0.18894929,-0.0999123,0.011897665,-0.035105426,-0.025442572,-0.048589237,-0.08331759,-0.023334995,0.030031228
-0.10672083,-0.06421322,-0.014153751,0.032318715,0.07214314,-0.122107044,0.11610418,-0.07377845,-0.17971951,0.09589176,-0.04375956,0.1641001,-0.19593404,-0.14725018,-0.33819237,-0.10156541,-0.047096916,-0.54617107,-0.026653113,-0.05446836,0.24225315,0.23408471,-0.2300552,-0.076242015,0.04893425,-0.10094366,0.0829758,-0.1634855,-0.0041816058,0.059424594
-0.16918547,-0.077685304,0.12437134,-0.15758589,0.0609322,-0.16385235,-0.004402967,-0.1993443,-0.18881015,0.07051889,-0.15304413,0.24062468,-0.08263047,-0.19731683,-0.5410691,-0.094443955,0.21998194,-0.18492612,0.12911816,-0.18449254,0.16023608,0.34485966,-0.24466842,-0.11355565,-0.036773145,0.009860522,-0.00016784109,0.08669703,0.12319197,-0.11076984
0.057191856,-0.14121702,0.2078379,-0.28894746,0.23516217,-0.31862056,0.07310675,-0.16798493,-0.06619829,-0.10756438,-0.49871463,0.47508025,-0.5112645,-0.1700137,-0.89468294,0.06187962,-0.40585914,-1.223417,-0.008321578,-0.049127318,0.35507962,0.33226144,-0.06740416,0.027093671,-0.043880954,-0.034535922,-0.13126196,-0.12254747,0.07464212,0.07072561
0.08156029,-0.39301422,0.22710687,-0.78546494,0.3200331,-0.6522771,-0.02917148,-0.4768053,0.20348264,-0.3020668,-0.82890457,0.49046403,-0.65446985,-0.11966336,-1.116891,-0.11907569,-0.4339998,-1.4326656,-0.14586014,-0.029926961,0.42551363,0.319045,-0.18809177,0.08955792,-0.07308415,-0.066871874,-0.23859024,0.016114963,-0.0925055,0.23283502
0.012398311,-0.14689316,0.15397356,-0.0033676396,0.13577105,-0.2675801,0.076792285,-0.082554206,-0.2091343,-0.053772956,-0.15509628,0.18594943,-0.30240586,-0.16079438,-0.5162932,0.04292586,-0.28451303,-0.8291021,-0.057707474,-0.087138705,0.20051222,0.27556407,-0.17236234,0.012042247,0.054617118,-0.1570532,0.08426089,-0.34620482,-0.046632435,0.11232426
